threads,diff
1,1.00006
2,0.758885
3,0.579411
4,0.462073
5,0.382831
6,0.326455
7,0.28429
8,0.251588
9,0.240083
10,0.237046
11,0.231505
12,0.224456
13,0.216916
14,0.209175
15,0.201463
16,0.19397
17,0.190904
18,0.190092
19,0.188618
20,0.186492
21,0.18391
22,0.180985
23,0.177845
24,0.174596
25,0.173196
26,0.172829
27,0.172135
28,0.171108
29,0.1698
30,0.168272
31,0.166586
32,0.164782
33,0.163988
34,0.163756
35,0.163353
36,0.162744
37,0.161964
38,0.161042
39,0.159996
40,0.158855
41,0.158346
42,0.158199
43,0.157941
44,0.157544
45,0.157015
46,0.156388
47,0.155679
48,0.154893
49,0.15454
50,0.154426
51,0.154245
52,0.153972
53,0.153601
54,0.153149
55,0.152633
56,0.15206
57,0.151803
58,0.151723
59,0.151581
60,0.151375
61,0.151101
62,0.150765
63,0.150376
64,0.14994
65,0.149745
66,0.149703
67,0.149616
68,0.149466
69,0.149261
70,0.149008
71,0.148709
72,0.148371
73,0.148221
74,0.148197
75,0.148131
76,0.148019
77,0.147868
78,0.147677
79,0.147448
80,0.147183
81,0.14707
82,0.147054
83,0.147009
84,0.146927
85,0.146807
86,0.146653
87,0.146469
88,0.146255
89,0.146165
90,0.146156
91,0.146121
92,0.146058
93,0.145966
94,0.145846
95,0.1457
96,0.145532
97,0.145469
98,0.145471
99,0.145454
100,0.145407
101,0.145334
102,0.145236
103,0.145113
104,0.144969
105,0.144911
106,0.144909
107,0.144888
108,0.144845
109,0.144779
110,0.144697
111,0.144594
112,0.144472
113,0.144428
114,0.14443
115,0.144425
116,0.144396
117,0.144339
118,0.144263
119,0.14417
120,0.144061
121,0.144019
122,0.144017
123,0.144003
124,0.143977
125,0.14394
126,0.143893
127,0.143837
128,0.143772
