threads,num_ops
1,7.858e+07
2,4.87161e+07
3,3.98342e+07
4,2.89208e+07
5,2.28117e+07
6,1.85331e+07
7,1.56583e+07
8,1.33968e+07
9,9.10548e+06
10,8.99375e+06
11,8.81846e+06
12,7.96554e+06
13,7.30177e+06
14,6.70079e+06
15,6.21243e+06
16,5.75738e+06
17,5.01131e+06
18,5.05786e+06
19,5.03053e+06
20,4.72953e+06
21,4.48375e+06
22,4.24452e+06
23,4.04197e+06
24,3.84383e+06
25,3.47383e+06
26,3.51368e+06
27,3.51278e+06
28,3.36005e+06
29,3.23269e+06
30,3.10534e+06
31,2.99515e+06
32,2.88507e+06
33,2.65958e+06
34,2.6752e+06
35,2.6769e+06
36,2.58615e+06
37,2.50926e+06
38,2.43131e+06
39,2.36263e+06
40,2.29332e+06
41,2.14985e+06
42,2.16377e+06
43,2.16634e+06
44,2.10579e+06
45,2.05419e+06
46,2.00142e+06
47,1.9543e+06
48,1.9064e+06
49,1.80744e+06
50,1.818e+06
51,1.8204e+06
52,1.77719e+06
53,1.74022e+06
54,1.70208e+06
55,1.6678e+06
56,1.63277e+06
57,1.55999e+06
58,1.56798e+06
59,1.5702e+06
60,1.53795e+06
61,1.5102e+06
62,1.48126e+06
63,1.45524e+06
64,1.4285e+06
65,1.36269e+06
66,1.37413e+06
67,1.37532e+06
68,1.35043e+06
69,1.32885e+06
70,1.30642e+06
71,1.28621e+06
72,1.26509e+06
73,1.2144e+06
74,1.22377e+06
75,1.22488e+06
76,1.20492e+06
77,1.18772e+06
78,1.16973e+06
79,1.15349e+06
80,1.13644e+06
81,1.09594e+06
82,1.10357e+06
83,1.10463e+06
84,1.08844e+06
85,1.07434e+06
86,1.05963e+06
87,1.04624e+06
88,1.03213e+06
89,999098
90,1.00541e+06
91,1.00634e+06
92,992871
93,981133
94,968867
95,957619
96,945834
97,917444
98,922609
99,923458
100,912078
101,902191
102,891615
103,882103
104,872025
105,848052
106,852591
107,853285
108,843539
109,835132
110,826028
111,817878
112,809168
113,789200
114,792811
115,793611
116,785201
117,777756
118,769883
119,762759
120,755261
121,737860
122,740992
123,741824
124,734443
125,727937
126,721029
127,714724
128,708105
